segment_id,protocol,tile_type,num_tiles,total_size_mb,avg_size_kb,avg_speed_mbps,min_speed_mbps,max_speed_mbps,dns_ms,tcp_connect_ms,tls_handshake_ms,ttfb_ms,transfer_ms,total_ms,parallel_total_ms,jitter_ms,conn_reused,conn_reuse_pct
1,HTTP/2,viewport,16,1.68,107.33,6.55,2.82,11.87,0.01,0.15,14.43,1.04,1.02,16.71,267.40,0.62,0,0.0
1,HTTP/2,non-viewport,32,0.46,14.63,0.93,0.25,1.97,0.01,0.20,14.07,1.48,0.04,15.84,506.99,0.51,0,0.0
2,HTTP/2,viewport,12,0.75,64.23,3.75,1.20,8.30,0.01,0.19,15.62,1.71,0.91,18.48,221.80,4.71,0,0.0
2,HTTP/2,non-viewport,36,0.48,13.56,0.86,0.22,1.82,0.01,0.17,14.27,1.63,0.04,16.17,581.98,0.39,0,0.0
3,HTTP/2,viewport,12,0.65,55.49,3.40,1.93,5.67,0.01,0.20,14.03,1.90,0.44,16.63,199.53,0.31,0,0.0
3,HTTP/2,non-viewport,36,0.44,12.54,0.83,0.24,1.79,0.02,0.16,14.24,1.17,0.03,15.68,564.38,0.52,0,0.0
4,HTTP/2,viewport,12,0.39,33.29,2.11,1.16,3.76,0.01,0.18,14.20,1.44,0.16,16.04,192.50,0.51,0,0.0
4,HTTP/2,non-viewport,36,0.41,11.75,0.76,0.25,1.62,0.01,0.21,14.11,1.32,0.03,15.73,566.39,0.36,0,0.0
5,HTTP/2,viewport,12,0.63,54.05,3.39,1.92,5.81,0.01,0.18,14.20,1.31,0.42,16.17,194.09,0.66,0,0.0
5,HTTP/2,non-viewport,36,0.37,10.52,0.68,0.24,1.68,0.01,0.20,14.14,1.32,0.02,15.74,566.59,0.36,0,0.0
6,HTTP/2,viewport,12,0.61,52.13,3.22,1.09,5.14,0.01,0.19,14.45,1.36,0.45,16.52,198.20,0.56,0,0.0
6,HTTP/2,non-viewport,36,0.35,9.93,0.62,0.25,1.24,0.01,0.19,14.59,1.36,0.02,16.22,583.79,0.38,0,0.0
7,HTTP/2,viewport,12,0.90,77.05,4.61,1.42,6.95,0.01,0.15,14.82,1.23,0.74,17.01,204.16,0.59,0,0.0
7,HTTP/2,non-viewport,36,0.33,9.42,0.57,0.24,1.12,0.02,0.18,15.16,1.24,0.02,16.67,600.27,0.42,0,0.0
8,HTTP/2,viewport,12,0.95,80.68,4.82,1.53,7.25,0.02,0.17,14.95,1.05,0.75,16.98,203.81,0.78,0,0.0
8,HTTP/2,non-viewport,36,0.33,9.52,0.56,0.22,1.08,0.01,0.19,15.87,1.31,0.02,17.45,628.09,0.48,0,0.0
9,HTTP/2,viewport,12,0.53,45.20,2.66,0.70,3.92,0.01,0.19,15.45,1.34,0.35,17.40,208.76,0.64,0,0.0
9,HTTP/2,non-viewport,36,0.33,9.26,0.54,0.23,1.02,0.01,0.17,15.75,1.37,0.02,17.37,625.25,0.23,0,0.0
10,HTTP/2,viewport,12,0.90,76.83,4.09,1.17,6.36,0.01,0.17,16.00,1.89,0.94,19.07,228.87,0.47,0,0.0
10,HTTP/2,non-viewport,36,0.34,9.73,0.56,0.22,1.05,0.02,0.16,16.23,1.42,0.02,17.90,644.44,0.38,0,0.0
