seg,proto,type,tiles,size_mb,speed_mbps,total_ms,jitter_ms,reuse_pct,et
1,HTTP/3,viewport,8,0.2726,0.1089,2595.2660,11.30,87.5,28
1,HTTP/3,non-vp,12,0.3716,0.0779,4896.9090,84.40,100.0,0
1,HTTP/3,summary,1.0000,1.0000
2,HTTP/3,viewport,16,2.3207,0.5713,12174.9670,396.08,0.0,12
2,HTTP/3,non-vp,20,3.6117,0.0620,79089.6280,1944.54,5.0,0
2,HTTP/3,summary,0.8654,0.5000
3,HTTP/3,viewport,14,0.3970,3.0197,163.3460,3.07,0.0,10
3,HTTP/3,non-vp,24,1.0204,1.3483,9960.7390,508.85,4.2,0
3,HTTP/3,summary,0.7436,0.0000
4,HTTP/3,viewport,16,0.6031,1.0358,8261.1560,335.33,0.0,12
4,HTTP/3,non-vp,20,0.7220,0.0499,15172.1520,4.15,5.0,0
4,HTTP/3,summary,0.7263,0.0000
5,HTTP/3,viewport,14,0.5572,0.0436,13399.4720,2.29,0.0,12
5,HTTP/3,non-vp,22,0.8188,0.0275,33903.0760,482.12,4.5,0
5,HTTP/3,summary,0.7415,0.0000
6,HTTP/3,viewport,7,0.3116,2.5920,125.4600,0.28,0.0,27
6,HTTP/3,non-vp,14,0.6291,0.0653,10103.1550,2.35,7.1,0
6,HTTP/3,summary,0.6275,0.0000
7,HTTP/3,viewport,7,0.3416,0.0613,5849.7550,1.48,0.0,26
7,HTTP/3,non-vp,15,0.7522,0.0474,19544.4830,494.06,6.7,0
7,HTTP/3,summary,0.6851,0.0000
8,HTTP/3,viewport,15,0.8647,2.0244,9263.3470,367.87,0.0,12
8,HTTP/3,non-vp,21,0.8422,0.0417,23708.7620,361.49,4.8,0
8,HTTP/3,summary,0.7886,0.0000
9,HTTP/3,viewport,13,0.7449,3.0594,6571.9450,459.72,0.0,12
9,HTTP/3,non-vp,23,1.0547,0.0446,26831.1040,371.04,4.3,0
9,HTTP/3,summary,0.7972,0.0000
10,HTTP/3,viewport,13,0.7348,4.0677,2873.1780,383.59,0.0,11
10,HTTP/3,non-vp,24,1.0618,0.0455,25712.8160,301.98,4.2,0
10,HTTP/3,summary,0.8010,0.0000
